pVal,AverageB,AverageL,B1,L1,B2,L2,B3,L3,B4,L4,B5,L5,B6,L6,B7,L7,B8,L8,B9,L9,B10,L10
0.61,0.2970483539,5000,0.2970004512,5000,0.29707312,5000,0.2970039872,5000,0.2970109408,5000,0.297106336,5000,0.2970882272,5000,0.2970656768,5000,0.2970274624,5000,0.2970162144,5000,0.2970911232,5000
0.62,0.2984189805,5000,0.298396288,5000,0.2983492256,5000,0.2984316512,5000,0.298438048,5000,0.2984339904,5000,0.2984251168,5000,0.298373424,5000,0.2984668384,5000,0.2983603456,5000,0.2985148768,5000
0.63,0.299819321,5000,0.2997541472,5000,0.29991016,5000,0.2998932928,5000,0.2998211392,5000,0.2998333856,5000,0.2997585152,5000,0.299926064,5000,0.299778496,5000,0.299799168,5000,0.2997188416,5000
0.64,0.301145168,5000,0.3011296672,5000,0.301151408,5000,0.3011122432,5000,0.3010480224,5000,0.3011513152,5000,0.3012031584,5000,0.3010817504,5000,0.3012269312,5000,0.3011318592,5000,0.3012153248,5000
0.65,0.3024736224,5000,0.3024225536,5000,0.3025288096,5000,0.3024052128,5000,0.3024832352,5000,0.3024663488,5000,0.3024877216,5000,0.3024853728,5000,0.3026189696,5000,0.3024660704,5000,0.3023719296,5000
0.66,0.3037639181,5000,0.3038268768,5000,0.3036982112,5000,0.3038091648,5000,0.3037313696,5000,0.303853232,5000,0.30359784,5000,0.3038126688,5000,0.303848416,5000,0.303728544,5000,0.3037328576,5000
0.67,0.3050741523,5000,0.3051141184,5000,0.3050920576,5000,0.3049964288,5000,0.3049514976,5000,0.304983216,5000,0.3050376864,5000,0.3052146624,5000,0.3051446368,5000,0.3052218944,5000,0.3049853248,5000
0.68,0.3063081181,5000,0.3063756032,5000,0.306300448,5000,0.3062570304,5000,0.3062231584,5000,0.3065069344,5000,0.306224896,5000,0.3064001024,5000,0.3062562912,5000,0.3061856992,5000,0.3063510176,5000
0.69,0.3075392365,5000,0.3074108224,5000,0.3076139712,5000,0.307615072,5000,0.3074936928,5000,0.307567488,5000,0.3076735808,5000,0.3074937888,5000,0.3074934304,5000,0.3075662944,5000,0.307464224,5000
0.7,0.3088143744,5000,0.3087682272,5000,0.3088014912,5000,0.3088464512,5000,0.3087477184,5000,0.308782256,5000,0.3088649696,5000,0.308906976,5000,0.3087861728,5000,0.3088255328,5000,0.3088139488,5000
