pVal, biomass, longevity, fitness, top_pval, top_fitness, pVal_Two, biomass_Two, longevity_Two, top_Fitness_Two, top_Pval_Two
0.23, 0.005666591999999983, 5000.0, 28.332959999999918, 1.0, 3885.4261120000110.93, 0.3274812384000004, 5000.0, 1637.406192000002, 1.0, 3880.3052800000137
0.72, 0.29846347520000016, 5000.0, 1492.3173760000009, 1.0, 3885.4261120000110.15, 0.01742454080000004, 5000.0, 87.1227040000002, 1.0, 3880.3052800000137
0.29, 0.03106555199999998, 5000.0, 155.3277599999999, 1.0, 3885.4261120000110.73, 0.2897970463999997, 5000.0, 1448.9852319999984, 1.0, 3880.3052800000137
0.34, 0.17649720319999995, 5000.0, 882.4860159999997, 1.0, 3885.4261120000110.33, 0.1130603199999997, 5000.0, 565.3015999999985, 1.0, 3880.3052800000137
0.39, 0.22914693439999934, 5000.0, 1145.7346719999966, 1.0, 3885.4261120000110.13, 0.046584899199999974, 5000.0, 232.92449599999986, 1.0, 3880.3052800000137
0.44, 0.25260578239999953, 5000.0, 1263.0289119999977, 1.0, 3885.4261120000110.08, 0.02572428800000003, 5000.0, 128.62144000000015, 1.0, 3880.3052800000137
0.58, 0.2408177056000009, 5000.0, 1204.0885280000045, 1.0, 3885.4261120000110.43, 0.0749875423999997, 5000.0, 374.9377119999985, 1.0, 3880.3052800000137
0.17, 0.21773006720000035, 5000.0, 1088.6503360000017, 1.0, 3885.4261120000110.02, 0.021256380800000033, 5000.0, 106.28190400000017, 1.0, 3880.3052800000137
0.61, 0.032316307200000054, 5000.0, 161.58153600000026, 1.0, 3885.4261120000110.85, 0.300368, 5000.0, 1501.8400000000001, 1.0, 3880.3052800000137
0.6, 0.24162758079999902, 5000.0, 1208.1379039999952, 1.0, 3885.4261120000110.48, 0.07734472319999967, 5000.0, 386.72361599999834, 1.0, 3880.3052800000137
0.06, 0.002182870400000011, 5000.0, 10.914352000000054, 1.0, 3885.4261120000110.9, 0.3276764607999997, 5000.0, 1638.3823039999984, 1.0, 3880.3052800000137
0.24, 0.16595202880000004, 5000.0, 829.7601440000002, 1.0, 3885.4261120000110.18, 0.09458037440000006, 5000.0, 472.90187200000025, 1.0, 3880.3052800000137
0.33, 0.10269762879999984, 5000.0, 513.4881439999992, 1.0, 3885.4261120000110.38, 0.19073110719999992, 5000.0, 953.6555359999995, 1.0, 3880.3052800000137
0.21, 0.029374499200000077, 5000.0, 146.87249600000038, 1.0, 3885.4261120000110.67, 0.2838795968000002, 5000.0, 1419.3979840000009, 1.0, 3880.3052800000137
0.4, 0.09058823680000011, 5000.0, 452.94118400000053, 1.0, 3885.4261120000110.49, 0.21755033919999964, 5000.0, 1087.7516959999982, 1.0, 3880.3052800000137
